বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
বাংলা থেকে আরব বণিকদের বিতাড়িত করে কোন পর্তৃগ্রীজ নাবিক?	উঃ পেড্রো আলভারেজ কাব্রাল।			
ফরাসিরা কখন বাংলায় বানিজ্য করতে আগমন করে?	উঃ ১৬৬৮ সালে।			
কোন সালে ফরাসি ইষ্ট ইন্ডিয়া কোম্পানী গঠিত হয়?	উঃ ১৬৬৪ সালে।			
কোন সালে ব্রিটিশ ইষ্ট ইন্ডিয়া কোম্পানী গঠিত হয়?	উঃ ১৬০০ সালে।			
কোন যুদ্ধের ফলে ভারতে ফরাসিদের সাম্রাজ্য বিস্তারের স্বপ্ন ভেঙ্গে যায়?	উঃ ১৭৬০ সালের বন্দিবাসের যুদ্ধে।			
বন্দিবাসের যুদ্ধে কে, কার কাছে পরাজয় স্বীকার করে?	উঃ ইংরেজ সেনাপতি আয়ারকুটের নিকট  ফরাসি গর্ভনর কাউন্ট লালী পরাজিত হন।
উপমহাদেশে ব্যর্থ হয়ে ওলন্দাজরা কোথায় বানিজ্য স্থাপন করে?	উঃ ইন্দোনেশিয়ায়।			
প্রথম কর্ণাট যুদ্ধ কবে, কার মধ্যে সংঘটিত হয়?	উঃ ফরসিদের সাথে ইংরেজদের মধ্যে ১৭৪৬ সালে।			
ইংরেজরা বাংলায় প্রথম কোন স্থানে কুঠি স্থাপন করে?	উঃ সুরাটে।			
কে শান্তিপূর্ন বানিজ্য নীতি পরিত্যাগ করে বন্দর আক্রমন করে?	উঃ ইংরেজ নৌবাহিনীর জন চাইল্ড।			
বাংলায় ইংরেজদের কোন কুঠিটি সবচেয়ে সুরক্ষিত ছিল?	উঃ ফোর্ট উইলিয়াম।			
মুঘল সম্রাটের সাথে ইংরেজদের সন্ধি হয় কোন সালে?	উঃ ১৬৬০ সালে।			
কলকাতা নগরী কে প্রতিষ্ঠা করেন?	উঃ ইংরেজ কর্মচারী জন চার্নক।			
ইংরেজরা কোন সালে বাংলা আক্রমন করে?	উঃ ১৬৮৬ সালে।			
কত খ্রিষ্টাব্দে নবাব সিরাজু্‌দৌলা ফোর্ট উইলিয়াম দুর্গ দখল করেন?	উঃ ২০ জুন ১৭৫৬।			
কোন সালে নবাব আলীবর্দী খানের মৃত্যু হয়?	উঃ ১৭৫৬ সালে।			
ইংরেজরা কবে কলকাতা অধিকার করে?	উঃ ০২ জানুয়ারী ১৭৫৭।			
পলাশীর যুদ্ধ কবে সংঘটিত হয়?	উঃ ২৩ শে জুন, ১৭৫৭ সালে।			
নবাব সিরাজুদ্দৌলা কোন খ্রিষ্টাব্দে জন্মগ্রহন করেন?	উঃ ১৭৩৩ খ্রিষ্টাব্দে।			
নবাব মীর কাশিম ও ইংরেজদের মধ্যে কোন সালে যুদ্ধ বাধে?	উঃ ১৭৬৪ সালে।			
উপমহাদেশের প্রথম ব্রিটিশ গর্ভনর কে ছিল?	উঃ লর্ড ক্লাইভ।			
দ্বৈত শাসন ব্যবস্থার প্রর্বতন কে করেন?	উঃ লর্ড ক্লাইভ।			
দ্বৈত শাসন ব্যবস্থা কবে চালূ হয়?	উঃ ১৭৬৭ সালে।			
দ্বৈত শাসন ব্যবস্থায় শাসন কর্তৃত্ব কার ওপর ন্যাস্ত হয়?	উঃ নবাবের।			
দ্বৈত শাসন ব্যবস্থায় শাসন রাজস্ব আদায়ের দায়িত্ব কার ওপর ন্যাস্ত হয়?	উঃ লর্ড ক্লাইভ।			
বাংলায় দ্বৈত শাসন ব্যবস্থা কে রহিত করেন?	উঃ ওয়ারেন হেষ্টিংস।			
নিলাম সুত্রে কে জমি বন্দোবস্তের প্রথা চালু করেন?	উঃ ওয়ারেন হেষ্টিংস।			
ওয়ারেন হেস্টিংস কবে বাংলার গভর্নর জেনারেল নিযুক্ত হন?	উঃ ১৭৭২ সালে।			
চিরস্থায়ী ভূমি বন্দোবস্ত প্রবর্তন করেন কে?	উঃ লর্ড কর্নওয়ালিস (১৭৯৩ সালে)।			
ছিয়াত্তরের মম্বন্তর কখন হয়েছিল?	উঃ ১১৭৬ বাং এবং ১৭৭০ ইং সালে।			
পঞ্চাশের মম্বন্তর কখন হয়েছিল?	উঃ ১৩৫০ বাং এবং ১৯৪৩ ইং সালে।			
‘অন্ধ কূপ হত্যাকান্ড’ কখন সংগঠিত হয়েছিল?	উঃ ১৭৫৬ সালে।			
কে বাংলার রাজধানী মুর্শিদাবাদ থেকে কলকাতায় স্থানান্তর করেন?	উঃ ওয়ারেন হেস্টিংস।			
কলকাতা নগরী প্রতিষ্ঠিত হয় কোন সালে?	উঃ ১৬৯০ সালে।			
বর্গী নামে কারা পরিচিতি ছিল?	উঃ মারাঠারা।			
কে বাংলার রাজধানী মুর্শিদাবাদ থেকে মুঙ্গরে স্থানান্তর করেন?	উঃ মীর কাসিম।			
ইংরেজদের সাথে মীর কাসিমের যুদ্ধ সংঘটিত হয়েছিল কোথায়?	উঃ বক্সারে।			
বক্সারের যুদ্ধ হয়েছিল কোন সালে?	উঃ ১৭৬৪ সালে।			
ব্রিটিশ পার্লামেন্টে ‘ভারত শাসন আইন’ বা ‘রেগুলেটিং এ্যাক্ট’ পাশ হয় কখন?	উঃ ১৭৭৩ সালে।			
উপমহাদেশে সর্বপ্রথম ‘রাজস্ব বোর্ড’ স্থাপন করেন কোন ইংরেজ শাসক?	উঃ ওয়ারেন হেষ্টিংস।			
